1222.2 x1r0 HIP GPIO	GPIO_lib222_e.0.6 ip222_gpio_r061 r0.6.1 -
1222.2 x1r0 FIP MEMORY	MEMORY_lib222_2PRF_e.0.6 mem222_2prf_r061 r0.6.1 -
1222.2 x1r0 FDK ADF	P1222.2ADF_r0.6.1 adf222_r061 r0.6.1 -
1222.2 x1r0 FDK CTK	P1222.2CTK_r0.6.1 ctk222_r061 r0.6.1 -
1222.2 x1r0 FDK PDK	P1222.2PDK_r0.6.1 pdk222_r061 r0.6.1 -
1222.2 x1r0 FDK PDK	P1222.2PDK_r1.0.1 pdk222_r101 r1.0.1 -
1222.2 x1r0 FDK PDK	P1222.2PDK_r1.0HF4 pdk222_r10HF4 r1.0HF4 r1.0
1222.2 x1r0 FDK PDK	P1222.2PDK_r1.0hf7 pdk222_r10HF7 r1.0hf7 r1.0HF6
1222.2 x1r0 FIP STDCELL	STDCELL_lib222_6t_base_e.1.0 lib222_6t_base_e10 6t_base_e.1.0 -
1222.2 x1r0 FIP STDCELL	STDCELL_lib222_7t_base_e.2.0 lib222_7t_base_e20 7t_base_e.2.0 7t_base_e.1.1
